date,values,year,month,minus1,minus2,minus3
1949-01-01,112,1949,1,112,112,112
1949-02-01,118,1949,2,112,112,112
1949-03-01,132,1949,3,118,112,112
1949-04-01,129,1949,4,132,118,112
1949-05-01,121,1949,5,129,132,118
1949-06-01,135,1949,6,121,129,132
1949-07-01,148,1949,7,135,121,129
1949-08-01,148,1949,8,148,135,121
1949-09-01,136,1949,9,148,148,135
1949-10-01,119,1949,10,136,148,148
1949-11-01,104,1949,11,119,136,148
1949-12-01,118,1949,12,104,119,136
1950-01-01,115,1950,1,118,104,119
1950-02-01,126,1950,2,115,118,104
1950-03-01,141,1950,3,126,115,118
1950-04-01,135,1950,4,141,126,115
1950-05-01,125,1950,5,135,141,126
1950-06-01,149,1950,6,125,135,141
1950-07-01,170,1950,7,149,125,135
1950-08-01,170,1950,8,170,149,125
1950-09-01,158,1950,9,170,170,149
1950-10-01,133,1950,10,158,170,170
1950-11-01,114,1950,11,133,158,170
1950-12-01,140,1950,12,114,133,158
1951-01-01,145,1951,1,140,114,133
1951-02-01,150,1951,2,145,140,114
1951-03-01,178,1951,3,150,145,140
1951-04-01,163,1951,4,178,150,145
1951-05-01,172,1951,5,163,178,150
1951-06-01,178,1951,6,172,163,178
1951-07-01,199,1951,7,178,172,163
1951-08-01,199,1951,8,199,178,172
1951-09-01,184,1951,9,199,199,178
1951-10-01,162,1951,10,184,199,199
1951-11-01,146,1951,11,162,184,199
1951-12-01,166,1951,12,146,162,184
1952-01-01,171,1952,1,166,146,162
1952-02-01,180,1952,2,171,166,146
1952-03-01,193,1952,3,180,171,166
1952-04-01,181,1952,4,193,180,171
1952-05-01,183,1952,5,181,193,180
1952-06-01,218,1952,6,183,181,193
1952-07-01,230,1952,7,218,183,181
1952-08-01,242,1952,8,230,218,183
1952-09-01,209,1952,9,242,230,218
1952-10-01,191,1952,10,209,242,230
1952-11-01,172,1952,11,191,209,242
1952-12-01,194,1952,12,172,191,209
1953-01-01,196,1953,1,194,172,191
1953-02-01,196,1953,2,196,194,172
1953-03-01,236,1953,3,196,196,194
1953-04-01,235,1953,4,236,196,196
1953-05-01,229,1953,5,235,236,196
1953-06-01,243,1953,6,229,235,236
1953-07-01,264,1953,7,243,229,235
1953-08-01,272,1953,8,264,243,229
1953-09-01,237,1953,9,272,264,243
1953-10-01,211,1953,10,237,272,264
1953-11-01,180,1953,11,211,237,272
1953-12-01,201,1953,12,180,211,237
1954-01-01,204,1954,1,201,180,211
1954-02-01,188,1954,2,204,201,180
1954-03-01,235,1954,3,188,204,201
1954-04-01,227,1954,4,235,188,204
1954-05-01,234,1954,5,227,235,188
1954-06-01,264,1954,6,234,227,235
1954-07-01,302,1954,7,264,234,227
1954-08-01,293,1954,8,302,264,234
1954-09-01,259,1954,9,293,302,264
1954-10-01,229,1954,10,259,293,302
1954-11-01,203,1954,11,229,259,293
1954-12-01,229,1954,12,203,229,259
1955-01-01,242,1955,1,229,203,229
1955-02-01,233,1955,2,242,229,203
1955-03-01,267,1955,3,233,242,229
1955-04-01,269,1955,4,267,233,242
1955-05-01,270,1955,5,269,267,233
1955-06-01,315,1955,6,270,269,267
1955-07-01,364,1955,7,315,270,269
1955-08-01,347,1955,8,364,315,270
1955-09-01,312,1955,9,347,364,315
1955-10-01,274,1955,10,312,347,364
1955-11-01,237,1955,11,274,312,347
1955-12-01,278,1955,12,237,274,312
1956-01-01,284,1956,1,278,237,274
1956-02-01,277,1956,2,284,278,237
1956-03-01,317,1956,3,277,284,278
1956-04-01,313,1956,4,317,277,284
1956-05-01,318,1956,5,313,317,277
1956-06-01,374,1956,6,318,313,317
1956-07-01,413,1956,7,374,318,313
1956-08-01,405,1956,8,413,374,318
1956-09-01,355,1956,9,405,413,374
1956-10-01,306,1956,10,355,405,413
1956-11-01,271,1956,11,306,355,405
1956-12-01,306,1956,12,271,306,355
1957-01-01,315,1957,1,306,271,306
1957-02-01,301,1957,2,315,306,271
1957-03-01,356,1957,3,301,315,306
1957-04-01,348,1957,4,356,301,315
1957-05-01,355,1957,5,348,356,301
1957-06-01,422,1957,6,355,348,356
1957-07-01,465,1957,7,422,355,348
1957-08-01,467,1957,8,465,422,355
1957-09-01,404,1957,9,467,465,422
1957-10-01,347,1957,10,404,467,465
1957-11-01,305,1957,11,347,404,467
1957-12-01,336,1957,12,305,347,404
1958-01-01,340,1958,1,336,305,347
1958-02-01,318,1958,2,340,336,305
1958-03-01,362,1958,3,318,340,336
1958-04-01,348,1958,4,362,318,340
1958-05-01,363,1958,5,348,362,318
1958-06-01,435,1958,6,363,348,362
1958-07-01,491,1958,7,435,363,348
1958-08-01,505,1958,8,491,435,363
1958-09-01,404,1958,9,505,491,435
1958-10-01,359,1958,10,404,505,491
1958-11-01,310,1958,11,359,404,505
1958-12-01,337,1958,12,310,359,404
1959-01-01,360,1959,1,337,310,359
1959-02-01,342,1959,2,360,337,310
1959-03-01,406,1959,3,342,360,337
1959-04-01,396,1959,4,406,342,360
1959-05-01,420,1959,5,396,406,342
1959-06-01,472,1959,6,420,396,406
1959-07-01,548,1959,7,472,420,396
1959-08-01,559,1959,8,548,472,420
1959-09-01,463,1959,9,559,548,472
1959-10-01,407,1959,10,463,559,548
1959-11-01,362,1959,11,407,463,559
1959-12-01,405,1959,12,362,407,463
1960-01-01,417,1960,1,405,362,407
1960-02-01,391,1960,2,417,405,362
1960-03-01,419,1960,3,391,417,405
1960-04-01,461,1960,4,419,391,417
1960-05-01,472,1960,5,461,419,391
1960-06-01,535,1960,6,472,461,419
1960-07-01,622,1960,7,535,472,461
1960-08-01,606,1960,8,622,535,472
1960-09-01,508,1960,9,606,622,535
1960-10-01,461,1960,10,508,606,622
1960-11-01,390,1960,11,461,508,606
1960-12-01,432,1960,12,390,461,508
